id,vote,program,subvote,item,fy12,fy13,fy14
8,Constitutional Review Commission,Administration,Administration And Iir Management,Office And General Supplies And Services,0,253200000,670000000
8,Constitutional Review Commission,Administration,Administration And Iir Management,Rental Expenses,0,2032588800,1650000000
8,Constitutional Review Commission,Administration,Administration And Iir Management,Other Operating Expenses,0,10000000,22000000
8,Constitutional Review Commission,Administration,Administration And Iir Management,Acquisition Of Household &amp; Institutional Equipment,0,55698200,45000000
8,Constitutional Review Commission,Administration,Audit Unit,Office And General Supplies And Services,0,220488000,11000000
8,Constitutional Review Commission,Administration,Procurement Management Unit,Personnel Allowances (non-discretionary),0,30000000,50000000
8,Constitutional Review Commission,Administration,Procurement Management Unit,Training Domestic,0,0,3280000
8,Constitutional Review Commission,Administration,Procurement Management Unit,Communications &amp; Information,0,20000000,10000000
8,Constitutional Review Commission,Administration,Procurement Management Unit,Office And General Supplies And Services,0,320000000,226000000
8,Constitutional Review Commission,Administration,Procurement Management Unit,Other Operating Expenses,0,200000000,75000000
8,Constitutional Review Commission,Administration,Communications And Outreach,Clothingbedding Footwear And Services,0,0,40000000
8,Constitutional Review Commission,Administration,Communications And Outreach,Communications &amp; Information,0,150000000,500000000
8,Constitutional Review Commission,Administration,Review Coordination Unit,Personnel Allowances (non-discrctionary),0,123677000,0
8,Constitutional Review Commission,Administration,Review Coordination Unit,Office And General Supplies And Services,0,440976000,75000000
8,Constitutional Review Commission,Administration,Review Coordination Unit,Clothingbedding Footwear And Services,0,0,30000000
8,Constitutional Review Commission,Administration,Review Coordination Unit,Travel Ln - Country,0,600000000,1493820000
8,Constitutional Review Commission,Administration,Review Coordination Unit,Hospitality Supplies And Services,0,410000000,266800000
