id,vote,program,subvote,item,fy12,fy13,fy14
33,Ethics Secretariat,Administration,Administration And Iir Management,Utilities Supplies And Services,163,760,12
33,Ethics Secretariat,Administration,Administration And Iir Management,Fuel Oils lubricants,6300000,118910000,106850000
33,Ethics Secretariat,Administration,Administration And Iir Management,Training Domestic,15709500,37750900,50940000
33,Ethics Secretariat,Administration,Administration And Iir Management,Communications &amp; Information,55795746,45600000,59000000
33,Ethics Secretariat,Administration,Administration And Iir Management,Hospitality Supplies And Services,245275,150975300,2614120
33,Ethics Secretariat,Administration,Administration And Iir Management,Routine Maintenance And Repair Of Buildings,56300000,0,0
33,Ethics Secretariat,Administration,Administration And Iir Management,Routine Maintenance And Repair Of Office Equipment,169030,61560000,4000000
33,Ethics Secretariat,Administration,Administration And Iir Management,Acquisition Ol&quot; Vehicles And Transpotation Equipment,0,74000000,0
33,Ethics Secretariat,Administration,Administration And Iir Management,Acquisition Ol&apos; Oflice And General Equipment,0,0,11000000
33,Ethics Secretariat,Administration,Finance And Accounts,Personnel Allowances (non-discretionary),76984820,53153100,54499996
33,Ethics Secretariat,Administration,Finance And Accounts,Training Foreign,8000000,0,0
33,Ethics Secretariat,Administration,Finance And Accounts,Communications &amp; Information,0,4800000,4000000
33,Ethics Secretariat,Administration,Finance And Accounts,Hospitality Supplies And Services,0,7199900,7100004
33,Ethics Secretariat,Administration,Finance And Accounts,Feasibility Studies. Project Preparation And Design,0,2000000,4000000
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Basic Salaries Pensionahle Posts,339463000,32665000,46554200
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Personal Allowances In-kind,36089549,17360000,16820000
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Utilities Supplies And Services,19956010,0,0
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Rental Expenses,181698156,10150000,2100000
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Training Foreign,11000000,0,0
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Travel Out Ot&apos; Country,6226700,0,0
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Hospitality Supplies And Services,450000,5400000,9872000
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Routine Maintenance And Repair Of&apos; Vehicles And,58871744,0,0
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Routine Maintenance And Repair Oi&quot; Oflice Equipment,9697703,0,0
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Acquisition Ol&apos; Household &amp; Institutional Equipment,0,3000000,1000000
33,Ethics Secretariat,Administration,Planning Monitoring And Evalution Unit,Feasibility Studies. Project Preparation And Design,0,3000000,4000000
33,Ethics Secretariat,Administration,Government Communication Unit,Basic Salaries Pensionahle Posts,19755409,66004000,46596300
33,Ethics Secretariat,Administration,Government Communication Unit,Personal Allowances Ln-kind,0,0,7200000
33,Ethics Secretariat,Administration,Government Communication Unit,Military Supplies And Services,0,4500000,2000000
33,Ethics Secretariat,Administration,Government Communication Unit,Travel Ln - Country,9449500,4800000,10400000
33,Ethics Secretariat,Administration,Government Communication Unit,Educational Material Supplies And Services,10000000,3000000,0
33,Ethics Secretariat,Administration,Government Communication Unit,Printing Advertizing And Information Supplies And,9600000,0,0
33,Ethics Secretariat,Administration,Government Communication Unit,Acquisition Of Household &amp; Institutional Equipment,0,2000000,0
33,Ethics Secretariat,Administration,Procurement And Management Unit,Basic Salaries Pensionable Posts,22264872,72634000,68445000
33,Ethics Secretariat,Administration,Procurement And Management Unit,Personal Allowances Ln-kind,0,0,7200000
33,Ethics Secretariat,Administration,Procurement And Management Unit,Fuel. Oils .lubricants,4998000,1150000,667000
33,Ethics Secretariat,Administration,Procurement And Management Unit,Communications &amp; Information,2500000,13650000,9650000
33,Ethics Secretariat,Administration,Procurement And Management Unit,Other Operating Expenses,0,0,2000000
33,Ethics Secretariat,Administration,Procurement And Management Unit,Acquisition Of Vehicles And Transpotation Equipment,239223105,0,0
33,Ethics Secretariat,Administration,Audit,Personnel Allowances (non-discrctionary),26260000,36968224,50340000
33,Ethics Secretariat,Administration,Audit,Office And General Supplies And Services,770000,1250000,2600000
33,Ethics Secretariat,Administration,Audit,Training Domestic,1540282,0,0
33,Ethics Secretariat,Administration,Audit,Travel Out Of Country,5040000,0,5016000
33,Ethics Secretariat,Administration,Audit,Hospitality Supplies And Services,0,2400000,5900000
33,Ethics Secretariat,Administration,Audit,Acquisition Of Household &amp; Institutional Equipment,0,0,500000
33,Ethics Secretariat,Administration,And Communication Tech Unit,Personnel Allowances (non-discretionary),0,13800000,27200000
33,Ethics Secretariat,Administration,And Communication Tech Unit,Training Domestic,0,300000,0
33,Ethics Secretariat,Administration,And Communication Tech Unit,Communications &amp; Information,0,8800000,26000000
33,Ethics Secretariat,Administration,And Communication Tech Unit,Other Operating Expenses,0,11000000,0
33,Ethics Secretariat,Administration,And Communication Tech Unit,Routine Maintenance And Repair Of Office Equipment,0,3000000,7000000
33,Ethics Secretariat,Administration,Services Unit,Basic Salaries Pensionable Posts,0,82272000,53366300
33,Ethics Secretariat,Administration,Services Unit,&quot; Travel Ln - Country,0,15000000,0
33,Ethics Secretariat,Administration,Services Unit,Travel Out Of Country,0,48250000,0
33,Ethics Secretariat,Administration,Services Unit,Educational Material Supplies And Services,0,600000,12000000
33,Ethics Secretariat,Administration,Services Unit,Other Operating Expenses,0,4250000,27000000
33,Ethics Secretariat,Administration,Services Unit,Feasibility Studies. Project Preparation And Design,0,6000000,1000000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Personnel Allowances (non-discretionary),0,142980000,151580000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Personal Allowances Ln-kind,0,33018000,33012000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Fuel Oils lubricants,0,25300000,28980000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Travel In - Country,0,57000000,109920000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Communications &amp; Information,0,4000000,2800000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Other Operating Expenses,0,6000000,24000000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Acquisition Ofspecializcd Equipment,0,0,1000000
33,Ethics Secretariat,Personnel Services,Public Service Leaders Division,Acquisition Of Ofiice And General Equipment,0,0,2000000
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Personal Allowances In-kind,0,33018000,55551000
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Fuel. Oils lubricants,0,25300000,39100000
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Training Domestic,0,600000,0
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Communications &amp; Information,0,4000000,4100000
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Other Operating Expenses,0,5000000,15500000
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Acquisition Ofspecialized Equipment,0,0,1000000
33,Ethics Secretariat,Personnel Services,Political Leaders Division,Feasibility Studies Project Preparation And Design,0,0,6000000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Basic Salaries Pensionable Posts,0,532061000,483100600
33,Ethics Secretariat,Personnel Services,Zonal Offices,Personal Allowances Ln-kind,0,71120000,71120000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Fuel Oils ;lubricants,0,104650000,5381000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Travel Ln - Country,0,16800000,77600000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Other Operating Expenses,0,7000000,50000000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Routine Maintenance And Repair Of Office Equipment,0,8000000,3200000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Acquisition Of&apos;specialized Equipment,0,0,2000000
33,Ethics Secretariat,Personnel Services,Zonal Offices,Acquisition Ofoi&apos;lice And General Equipment,0,33000000,15400000
