id,vote,program,subvote,item,fy12,fy13,fy14
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Utilities Supplies And Services,564000000,600000000,720000000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Medical Supplies And Services,62554280,48400000,45600000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Travel Out Ofcountry,1257394546,1766650000,1787000000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Hospitality Supplies And Services,167844121,253000000,274240000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Routine Maintenance And Repair Of Machinery,36000000,59200000,68000000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Routine Maintenance And Repair Of Office Equipment,44000000,50000000,48000000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Acquisition Ofspecialized Equipment,0,150000000,0
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Acquisition Ofoflice And General Equipment,76662472,302000000,265500000
42,The National Assembly Fund,Administration,• . Administration And Hr Management ; • .,Rehabilitation Of Plant And Equipment,0,400000000,0
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Office And General Supplies And Services,572371457,493480000,629680000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Training Domestic,245932058,492000000,608500000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Travel Ln - Country,11412189512,16932032000,13925610000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Communications &amp; Information,730780000,694800000,696000000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Other Supplies And Services,3000000,3000000,3000000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Routine Maintenance And Repair Of Buildings,5000000,8000000,28062000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Routine Maintenance And Repair Of Machinery,0,90000000,50000000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Acquisition Ofvehicles And Transpotation Equipment,0,330000000,500000000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Acquisition Of Household &amp; Institutional Equipment,0,820670000,220000000
42,The National Assembly Fund,Administration Of The National Assembly,• . Administration And Hr Management ; • .,Rehabilitation Of Plant And Equipment,0,400000000,100000000
