id,vote,program,subvote,item,fy12,fy13,fy14
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Medical Supplies And Services,15000000,25000000,25200000
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Training Domestic,1077023,7000000,32400000
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Communications &amp; Information,79904525,92000000,90000000
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Ospitality Supplies And Services,27360972,28180000,28500000
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Routine Maintenance And Repair Ot&apos;buildings,0,6000000,0
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Routine Maintenance And Repair Of Office Equipment,3681800,3000000,0
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Current Grant To Non Financial Public,540504086,868370100,755032100
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,; Current Grant To Non Financial Public,20530708550,16345875500,16140030500
46,Ministry Of Education And Vocational Training,(unknown),Administration And Hr Management . . .,Acquisition Of Household &amp; Institutional Equipment,4378000,77000000,30000000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Basic Salaries Pensionable Posts,383369999,504566000,489590000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Office And General Supplies And Services,26314310,37400000,38750000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Training Domestic,15270550,20800000,36000000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Travel Out Of Country,0,15160000,15160000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Routine Maintenance And Repair Of Machinery,0,2000000,2000000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Routine Maintenance And Repair Of Office Equipment,1486790,24000000,16000000
46,Ministry Of Education And Vocational Training,(unknown),Finance And Accounts,Acquisition Of Oftlce And General Equipment,0,11050000,28000000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Basic Salaries Pensionable Posts,612265000,888225000,999937000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Personal Allowances Ln-kind,1970000,50980000,48100000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Fuel Oils lubricants,107470196,153142500,148135600
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Training Domestic,36796000,9900000,46800000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Travel Out Of Country,167000,43100000,30150000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Other Operating Expenses,0,55000000,40500000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Routine Maintenance And Repair Ofoftice Equipment,0,0,10000000
46,Ministry Of Education And Vocational Training,(unknown),Policy And Planning,Acquisition Of Household &amp; Institutional Equipment,0,18000000,0
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Basic Salaries Pensionable Posts,91293000,92336000,70808000
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Office And General Supplies And Services,5504397,6980000,18060000
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Fuel Oils lubricants,8200000,12672000,17000000
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Training Domestic,0,21600000,34800000
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Travel In - Country,13419200,26900000,141650000
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Hospitality Supplies And Services,4782773,6000000,4000000
46,Ministry Of Education And Vocational Training,(unknown),Audit Unit,Acquisition Of Household &amp; Institutional Equipment,0,9000000,0
46,Ministry Of Education And Vocational Training,(unknown),. Procurement Management Unit ,Personal Allowances Ln-kind,2110000,5620000,9255000
46,Ministry Of Education And Vocational Training,(unknown),. Procurement Management Unit,Rental Expenses,400000,4890000,4890000
46,Ministry Of Education And Vocational Training,(unknown),. Procurement Management Unit,Travel Ln - Country,20660000,38336303,46580000
46,Ministry Of Education And Vocational Training,(unknown),. Procurement Management Unit,Other Operating Expenses,200000,4000000,5000000
46,Ministry Of Education And Vocational Training,(unknown),Government Communication Unit,Basic Salaries Pensionable Posts,28666320,39029000,0
46,Ministry Of Education And Vocational Training,(unknown),Government Communication Unit,Office And General Supplies And Services,4793590,35500000,41140000
46,Ministry Of Education And Vocational Training,(unknown),Government Communication Unit,Training Domestic,0,0,15600000
46,Ministry Of Education And Vocational Training,(unknown),Government Communication Unit,Travel Out Of Country,360000,0,0
46,Ministry Of Education And Vocational Training,(unknown),Government Communication Unit,Other Operating Expenses,0,740000,745000
46,Ministry Of Education And Vocational Training,(unknown),Government Communication Unit,Acquisition Of Specialized Equipment,0,10500000,0
46,Ministry Of Education And Vocational Training,(unknown),Unit,&apos; Basic Salaries Pensionable Posts,0,48332000,0
46,Ministry Of Education And Vocational Training,(unknown),Unit,Rental Expenses,0,0,1400000
46,Ministry Of Education And Vocational Training,(unknown),Unit,Training Foreign,0,9370500,4000000
46,Ministry Of Education And Vocational Training,(unknown),Unit,Acquisition Of Household &amp; Institutional Equipment,0,9000000,2000000
46,Ministry Of Education And Vocational Training,General Education,Commissioner For Education,Utilities Supplies And Services,20015000,2760000,800000000
46,Ministry Of Education And Vocational Training,General Education,Commissioner For Education,&quot; &apos;clothingbedding Footwear And Services,0,0,3600000
46,Ministry Of Education And Vocational Training,General Education,Commissioner For Education,Travel Ln - Country,56271000,104109800,77400000
46,Ministry Of Education And Vocational Training,General Education,Commissioner For Education,Communications &amp; Information,3577000,78500000,24000000
