id,vote,program,subvote,item,fy12,fy13,fy14
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Utilities Supplies And Services,1084149658,1029320000,1029320000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Military Supplies And Services,7628223297,8042724000,7842724000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,* Rental Expenses,543362031,556890000,456890000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Travel Ln - Country,547726966,550039000,550039000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Communications &amp; Information,768710019,878910000,903910000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Hospitality Supplies And Services,147430293,149094000,149094000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Other Supplies And Services,10235462,149944000,149944000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Routine Maintenance And Repair Of Water And,3247000,10363000,10363000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Routine Maintenance And Repair Of Vehicles And,454626999,454427000,454427000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Maintenance Of Specialized Equipment,100647999,100648000,100648000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Maintenance Of Military Land Operations Including,54998000,54998000,954998000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Routine Maintenance And Repair Of Air Force And Air,155604000,155604000,955604000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Other Routine Maintenance Expenses Not Elsewhere,9618265,18815000,18815000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Current Grant To Non Financial Public,122870854,125334000,125334000
38,Defence,Administration,Defence Forces Headquarters&apos; Command,Acquisition Of Vehicles And Transpotation Equipment,207272400,214322000,214322000
38,Defence,Administration,Forces Command,Personal Allowances In-kind,12135226,20926000,20926000
38,Defence,Administration,Forces Command,Fuel C)ils lubricants,2078196384,2283467000,2283467000
38,Defence,Administration,Forces Command,Clothingbedding Footwear And Services,3109023,5632000,5632000
38,Defence,Administration,Forces Command,Travel In - Country,699147450,699148000,699148000
38,Defence,Administration,Forces Command,Hospitality Supplies And Services,9560828,17340000,17340000
38,Defence,Administration,Forces Command,Other Operating Expenses,97138604,149686000,149686000
38,Defence,Administration,Forces Command,Routine Maintenance And Repair Of Vehicles And,611838357,648712000,648712000
38,Defence,Administration,Forces Command,Routine Maintenance And Repair Of Machinery,21498016,34877000,34877000
38,Defence,Administration,Forces Command,Maintenance Of Military Land Operations Including,82901045,136761000,136761000
38,Defence,Administration,Forces Command,Acquisition Of Household &amp; Institutional Equipment,20099664,22638000,22638000
38,Defence,Administration,Forces Command,Feasibility Studies Project Preparation And Design,75627000,75627000,75627000
38,Defence,Administration,Air Defence Command,Personnel Allowances (non-discretionary),167154928,197209000,197209000
38,Defence,Administration,Air Defence Command,Travel Ln - Country,64225233,72828000,72828000
38,Defence,Administration,Air Defence Command,Routine Maintenance And Repair Of Machinery,758924,3360000,3360000
38,Defence,Administration,Air Defence Command,Other Routine Maintenance Expenses Not Elsewhere,1225,1358000,358000
38,Defence,Administration,Air Defence Command,Acquisition Ot&quot;ot&quot;tice And General Equipment,42491324,48552000,29478000
38,Defence,Administration,Air Defence Command,Rehabilitation And Other Civil Works,483831,637000,0
38,Defence,Administration,Millltary Hospitals,Military Supplies And Services,4840325,17035000,17035000
