id,vote,program,subvote,item,fy12,fy13,fy14
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,&quot; &quot; Basic Salaries Pensionable Posts,439174274,904678000,703757000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Office And General Supplies And Services,62399282,72260000,112500000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Clothingbedding Footwear And Services,5132000,14750000,8250000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Training Foreign,30310888,69000000,44000000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Travel Out Of Country,46489507,64700000,45500000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Printing Advertizing And Information Supplies And,1906000,1000000,2000000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Other Supplies And Services,0,4000000,12000000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Current Subsidies Non Profit Organizations,2000000,2500000,2000000
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Acquisition Ol&apos;spccializcd Equipment,0,500000,0
31,Vice President&apos;s Oftice,(unknown),Administration And Hr Management,Acquisition Ofoflice And General Equipment,3240000,4500000,13000000
31,Vice President&apos;s Oftice,(unknown),Finance And Accounts,Basic Salaries Pensionable Posts,108158892,114530000,139928000
31,Vice President&apos;s Oftice,(unknown),Finance And Accounts,Office And General Supplies And Services,4602242,8940000,6374000
31,Vice President&apos;s Oftice,(unknown),Finance And Accounts,Training Foreign,12989750,2000000,21000000
31,Vice President&apos;s Oftice,(unknown),Finance And Accounts,Educational Material. Supplies And Services,0,0,2400000
31,Vice President&apos;s Oftice,(unknown),Finance And Accounts,Routine Maintenance And Repair Of Office Equipment,0,2000000,1000000
31,Vice President&apos;s Oftice,(unknown),Finance And Accounts,Acquisition Of Office And General Equipment,0,2500000,5000000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Basic Salaries Pensionable Posts,112837234,153052000,239585000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Personal Allowances Ln-kind,15840000,33480000,33780000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Rental Expenses,17753263,20050000,31050000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Training Foreign,56936619,75600000,49600000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Hospitality Supplies And Services,16809526,20400000,22650000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Routine Maintenance And Repair Of Vehicles And,6289124,22000000,10000000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Routine Maintenance And Repair Of Office Equipment,0,8000000,8000000
31,Vice President&apos;s Oftice,(unknown),Policy And Planning Division,Acquisition Of Vehicles And Transpotation Equipment,38893999,0,0
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,&quot;personnel Allowances (non-discretionary),26832299,29130000,22100000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Personal Allowances Ln-kind,8800000,4800000,4800000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Fuel. Oils lubricants,4692000,6250000,4000000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Training Domestic,16985800,12500000,12500000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Travel Ln - Country,26667100,25930000,22200000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Educational Material Supplies And Services,21979000,27000000,42000000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Printing Advertizing And Information Supplies And,0,0,2000000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Other Operating Expenses,0,4400000,0
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Routine Maintenance And Repair Of Office Equipment,0,5000000,2500000
31,Vice President&apos;s Oftice,(unknown),Government Communication Unit,Acquisition Of Household &amp; Institutional Equipment,187030,1000000,0
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Basic Salaries Pensionable Posts,54642803,34746000,48613000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Personal Allowances Ln-kind,9578604,13760000,8220000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Fuel Oils lubrieants,7750000,7614000,3780000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Training Domestic,8020000,6300000,7500000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Travel Ln - Country,20257500,21180000,33420000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Communications &amp; Information,676475,2160000,2160000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Other Operating Expenses,0,1200000,1600000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Routine Maintenance And Repair Of Office Equipment,0,2100000,1200000
31,Vice President&apos;s Oftice,(unknown),Audit Unit,Acquisition Of Household &amp; Institutional Equipment,0,498000,0
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Personnel Allowances (non-discretionary),36077056,45510000,32860000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Persona! Allowances Ln-kind,5299564,14400000,15480000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Fuel Oils lubrieants,8191625,8750000,7495000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Training Domestic,1733200,4100000,6100000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Travel Ln - Country,8344652,15595000,17865000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Communications &amp; Information,2334401,3700000,4600000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Other Operating Expenses,4000000,8000000,3200000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Routine Maintenance And Repair Of Office Equipment,800000,0,1000000
31,Vice President&apos;s Oftice,(unknown),Procurement Management Unit,Acquisition Of Office And General Equipment,0,0,13500000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Personnel Allowances (non-discretionary),0,11300000,21950000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Personal Allowances Ln-kind,0,3300000,3000000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Fuel Oils lubricants,0,6275000,5000000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Training Domestic,0,3100000,8000000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Travel Out Of Country,0,4850000,3050000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Communications &amp; Information,0,6200000,3050000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Hospitality Supplies And Services,0,2580000,3000000
31,Vice President&apos;s Oftice,(unknown),And Communication Techn Unit,Routine Maintenance And Repair Of Vehicles And,0,4800000,3000000
