id,vote,program,subvote,item,fy12,fy13,fy14
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Office And General Supplies And Services,25052055,72663500,86400000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Fuel Oils lubricants,40223103,122765000,159050000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Training Domestic,0,2400000,0
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Travel Ln - Country,39178592,202620000,232450000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Hospitality Supplies And Services,15500000,15200000,39600000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Routine Maintenance And Repair Of Vehicles And,26804000,49011000,52000000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Routine Maintenance And Repair Of Office Equipment,0,0,8000000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Current Grant To International Organizations,0,21000000,32000000
35,Public Prosecutions Division,(unknown),Public Prosecutions Division,Acquisition Of Intangible Non Produced Assets,10000000,0,0
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Basic Salaries Pensionable Posts,283020000,375763500,414401000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Office And General Supplies And Services,8451200,29963000,24780000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Fuel Oils lubricants,17103078,43245000,33500000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Rental Expenses,53640000,79915200,81820000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Communications &amp; Information,10991644,17700000,19800000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Utilities Supplies And Services,1200000,2400000,2400000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Clothingbedding Footwear And Services,0,3000000,0
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Hospitality Supplies And Services,6900000,7700000,10100000
35,Public Prosecutions Division,(unknown),Zonal Office Arusiia,Acquisition Of Household &amp; Institutional Equipment,0,2036000,0
35,Public Prosecutions Division,(unknown),Zonal Office Dar Es Salaam,Basic Salaries Pensionable Posts,457552000,622139300,664286000
35,Public Prosecutions Division,(unknown),Zonal Office Dar Es Salaam,Fuel Oils lubricants,34920000,49000000,66750000
35,Public Prosecutions Division,(unknown),Zonal Office Dar Es Salaam,Routine Maintenance And Repair Of Vehicles And,23403662,54000000,56100000
35,Public Prosecutions Division,(unknown),Zonal Office Dar Es Salaam,Routine Maintenance And Repair Of Office Equipment,5050000,1500000,5000000
35,Public Prosecutions Division,(unknown),Zonal Office Dar Es Salaam,Acquisition Of Household &amp; Institutional Equipment,0,2064000,0
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Basic Salaries Pensionable Posts,87522000,86349600,153737000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Office And General Supplies And Services,7245329,20867500,9804000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Fuel Oils lubricants,15603806,25270000,20000000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Rental Expenses,7200000,14400000,19800000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,. P Travel Ln - Country,7945000,23580000,11200000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Hospitality Supplies And Services,4206093,9200000,8900000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Routine Maintenance And Repair Of Vehicles And,3938476,14986000,6800000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Routine Maintenance And Repair Of Machinery,0,600000,0
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Routine Maintenance And Repair Of Office Equipment,3400000,3000000,2031000
35,Public Prosecutions Division,(unknown),Zonal Office Iringa,Acquisition Of Household &amp; Institutional Equipment,230000,1705000,0
35,Public Prosecutions Division,(unknown),Zonal Office Moshi,Basic Salaries Pensionable Posts,193414000,183391200,203657000
35,Public Prosecutions Division,(unknown),Zonal Office Moshi,Utilities Supplies And Services,0,6000000,9600000
35,Public Prosecutions Division,(unknown),Zonal Office Moshi,Clothingbedding Footwear And Services,0,0,1000000
