id,vote,program,subvote,item,fy12,fy13,fy14
32,President&apos;s Oflice Public Service Management,(unknown),(unknown),Personal Allowances Ln-kind,24862050,13020000,14320000
32,President&apos;s Oflice Public Service Management,(unknown),(unknown),Utilities Supplies And Services,0,0,3600000
32,President&apos;s Oflice Public Service Management,(unknown),(unknown),V &quot;training Foreign,900000,0,0
32,President&apos;s Oflice Public Service Management,(unknown),(unknown),Travel Out Of Country,0,6000000,5400000
32,President&apos;s Oflice Public Service Management,(unknown),(unknown),Hospitality Supplies And Services,0,4800000,3600000
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,Military Supplies And Services,30450000,20000000,0
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,Training Domestic,1968000,0,0
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,&quot; • Travel Out Of Country,4873000,0,15000000
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,Educational Material. Supplies And Services,2000000,15440000,0
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,Printing Advcrtizing And Information Supplies And,3450000,50000000,4000000
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,Other Operating Expenses,0,0,20309000
32,President&apos;s Oflice Public Service Management,(unknown),Government Communication Unit,Acquisition Of Strategic Stocks And Other,2000000,0,2525000
32,President&apos;s Oflice Public Service Management,(unknown),Procurement Management Unit,Office And General Supplies And Services,16921440,4200000,6000000
32,President&apos;s Oflice Public Service Management,(unknown),Procurement Management Unit,Travel Ln - Country,0,650000,0
32,President&apos;s Oflice Public Service Management,(unknown),Audit Unit,Personnel Allowances (non-discrctionary),17520000,17400000,25000000
32,President&apos;s Oflice Public Service Management,(unknown),Audit Unit,Utilities Supplies And Services,2460000,2460000,2460000
32,President&apos;s Oflice Public Service Management,(unknown),Audit Unit,&apos; Travel Ln - Country,800000,0,4800000
32,President&apos;s Oflice Public Service Management,(unknown),Audit Unit,&apos; Hospitality Supplies And Services,2700000,0,0
32,President&apos;s Oflice Public Service Management,(unknown),Planning Division,Personnel Allowances (non-diserctionary),45872000,38400000,34060000
32,President&apos;s Oflice Public Service Management,(unknown),Planning Division,Personal Allowances Ln-kind,13860000,35460000,35460000
32,President&apos;s Oflice Public Service Management,(unknown),Planning Division,Fuel Oils lubricants,6000000,9240000,5000000
32,President&apos;s Oflice Public Service Management,(unknown),Planning Division,Travel Ln - Country,43905750,1500000,17700000
32,President&apos;s Oflice Public Service Management,(unknown),Planning Division,Communications &amp; Information],34500000,20800000,8085000
32,President&apos;s Oflice Public Service Management,(unknown),And Communication Tech Unit,Basic Salaries Pensionable Posts,0,27268000,0
32,President&apos;s Oflice Public Service Management,(unknown),And Communication Tech Unit,Personal Allowances Ln-kind,0,0,3700000
32,President&apos;s Oflice Public Service Management,(unknown),And Communication Tech Unit,Rental Expenses,0,2000000,2000000
32,President&apos;s Oflice Public Service Management,(unknown),And Communication Tech Unit,Travel Ln - Country,0,4000000,4000000
32,President&apos;s Oflice Public Service Management,Human Resources Management,Policy Development Division,Personnel Allowances (non-discretionary),62478800,34500000,55620000
32,President&apos;s Oflice Public Service Management,Human Resources Management,Policy Development Division,Office And General Supplies And Services,14692333,15160000,17960000
32,President&apos;s Oflice Public Service Management,Human Resources Management,Policy Development Division,Rental Expenses,6400000,2800000,5600000
32,President&apos;s Oflice Public Service Management,Human Resources Management,Policy Development Division,* &quot;&quot;training Domestic,8400000,7700000,2400000
