id,vote,program,subvote,item,fy12,fy13,fy14
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Basic Salaries Non-pensionable,22000000,1200000,1200000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Office And Genera! Supplies And Services,46038897,338800000,337650000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Clothingbedding Footwear And Services,6196100,33500000,16500000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Travel Ln - Country,387964184,311125000,373520000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Communications &amp; Information,66717951,74999700,83860000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Hospitality Supplies And Services,47338244,117360000,96020000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Routine Maintenance And Repair Ofbuildings,0,18000000,404000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Acquisition Of Vehicles And Transpotation Equipment,0,190000000,0
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Acquisition Of Household &amp; Institutional Equipment,66940500,27000000,60000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Administration And Hr Management,Rehabilitation Ofplant And Equipment,6299000,0,0
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Basic Salaries Pensionable Posts,565218752,NaN,528794200
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Office And General Supplies And Services,31316612,54300000,55695100
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Clothingbedding Footwear And Services,600000,15000000,800000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Training Foreign,0,60300000,43500000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Travel Out Ofcountry,42828022,40780000,42000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Hospitality Supplies And Services,72758376,54600000,50380000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Finance And Accounts,Acquisition] Of Ofllce And General Equipment,13715000,25000000,19400000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Personnel Allowances (non-discretionary),69975000,112000000,161700000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Office And General Supplies And Services,26237624,44610000,53164000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Rental Expenses,35017950,10850000,24420000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Training Foreign,21357227,60000000,51000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Communications &amp; Information,114555702,135240006,9800000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Other Operating Expenses,0,29600000,50100000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Routine Maintenance And Repair Of Office,0,3500000,0
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,Current Grant To Lntcmational Organizations,0,0,1736000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Policy And Planning,&quot;acquisition; Of Office And General Equipment,46875847,40000000,37000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Basic Salaries Pcnsionable Posts,22714961,33141600,6861600
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Personal Allowances Ln-kind,0,1,200000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Fuel. Oils lubrieants,7579000,44500000,37500000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,&apos; ; Training Domestic,0,7000000,10000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Travel Ln - Country,8390000,39200000,30400000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Communications &amp; Lnfomlation,600000,65000000,98700000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Routine Maintenance And Repair Of Vehicles And,12000000,20000000,22000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Acquisition Of Vehicles And Transpotation,0,0,80000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Acquisition Ofspceialized Equipment,5990770,28000000,16000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Government Communication Unit,Acquisition Of Office And General Equipment,3260000,30000000,20000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Basic Salaries Pensionablc Posts,83586348,92873800,91432800
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Personal Allowances Ln-kind,16921510,1362000011,820000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Fuel. Oils .lubrieants,17342154,27050000,36900000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Rental Expenses,0,6300000,14100000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Training Foreign,19200000,13550000,30600000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Communications &amp; Information,0,5320000,7600000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Hospitality Supplies And Services,0,13800000,17900000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Routine Maintenance And Repair Of Vehicles And,12542823,19000000,19750000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Acquisition Of&apos; Vehicles And Transpotation,0,95000000,0
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Acquisition Ofspecialized Equipment,0,0,3600000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Audit Unit,Acquisition Of Ofticc And Gcncral Equipment,20687980,4639600,6701600
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Procurement Management Unit,Basic Salaries Non-pcnsionable,0,12000000,17000000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Procurement Management Unit,Personal Allowances Ln-kind,0,14220000,29820000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Procurement Management Unit,Fucl Oils lubricants,48055758,28000000,28400000
69,Ministry Of Natural Resources And &apos;i&apos;onris;;:,Administration,Procurement Management Unit,&quot;rental Expenses,0,0,6000000
